State,Population,AreaInSqKm,DensityPerSqKm,StateCode
Uttar Pradesh,199812341,240928,828,UP
Maharashtra,112372972,307713,365,MH
Bihar,103804637,94163,1102,BH
West Bengal,91347736,88752,1029,WB
Madhya Pradesh,72597565,308245,236,MP
Tamil Nadu,72138958,130058,555,TN
Rajasthan,68621012,342239,201,RJ
Karnataka,61130704,191791,319,KA
Gujarat,60383628,196024,308,GJ
Andhra Pradesh,49386799,162968,303,AP
Odisha,41947358,155707,269,OR
Telangana,35286757,114840,307,TS
Kerala,33387677,38863,859,KL
Jharkhand,32966238,79714,414,JH
Assam,31169272,78438,397,AS
Punjab,27704236,50362,550,PB
Chattisgarh,25540196,135191,189,CT
Haryana,25353081,44212,573,HR
Jammu and Kashmir,12548926,222236,57,JK
Uttarakhand,10116752,53483,189,UT
Himachal Pradesh,6864602,55673,123,HP
Tripura,3671032,10486,350,TR
Meghalaya,2964007,22429,132,ME
Manipur,2721756,22327,122,MN
Nagaland,1980602,16579,119,NL
Goa,1457723,3702,394,GA
Arunachal Pradesh,1382611,,,AR
Mizoram,1091014,21081,52,MI
Sikkim,607688,7096,86,SK
